overall,vote,verified,reviewText,summary,unixReviewTime,Topic1,Topic2,Topic3,Topic4,Topic5,imagenum,nameverified,Sentiment,Length,Sentences,Flesch,Days,verified_option,Retail,vote_fillna
5.0,1113.0,1,"As a software developer, I am literally attached to my keyboard.  On a typical day, I'll spend anywhere between 5-8 hours typing, so it's of critical importance that the keyboard I use is comfortable.  As most programmers and typists can attest, the Microsoft Ergo series of keyboards is the best keyboard for prolonged use.

Having used the Ergo keyboards in some form or another for the past 4 years (most recently, the Wireless Elite set), I must say that this keyboard is a step above.

To begin with, the construction is very solid.  There is far less flex in the plastic and the keyboard as a whole compared to my Wireless Elite.  The wrist pad is made of a nicely textured faux leather material with a tiny bit of padding.  It feels rather durable (not to mention comfortable).  It's a good addition as one of my main gripes with the MS ergo keyboards was that it was hard to fit one of those gel wrist rests around the curved base of the keyboard.

Compared to previous MS keyboards that I've owned, the keys on this keyboard are very well damped in terms of the sound the produce.  It's very muted, even with my hard strokes.  One thing that will take some adjusting to is the increased curvature (along two different planes) between where your pinky and index fingers rest (A,F and J,;).  Whereas the older keyboards have a relatively flat incline, this keyboard has a slight curve (concave).  In addition, there is also a very subtle curve across the keyboard as well (a horizontal curvature), which seems a more natural fit for the shape of hands.  Also of note is the fact that some of the keys have changed shape.  Whereas previously, MS had kept the striking surface consistent across the different keys (even at the edge), this keyboard has several keys along the ridge that have different striking surfaces.

Interestingly, this keyboard also features the return of the front riser (available on the older versions of the MS ergo keyboards).  Actually, in recent months, I've been doing exactly this, but with my own ad hoc methods :) This is a much better solution.  The riser is easily removable for those that prefer the standard configurations.

Note that this keyboard is *USB only*, which means that it may be incompatible with some older motherboards.  Not a problem for me as I'm using it with a newer laptop.  The keyboard does come with software for the programmable keys and extra functions, but it's plug and play right out of the box with WinXP.

I also appreciate the new forward and back buttons for use with web browsing (work with no drivers).  The zoom slider in the middle of the keyboard, however, seems inapproriately used.  It would have been much more useful as a scroll slider instead.

Sizewise, it takes up slightly more surface space than my wireless elite, but is much, much thinner.

My only complaints are that the space key is a little bit stiff out of the box (maybe it'll loosen up a bit after usage), the distance from Ctrl to the number keys seems to have increased a bit (on the scale of millimeters, this is important for those of us hitting Ctrl+F5 quite often ;-), the Delete key is now the same size as the other keys in the cluster (which some people may prefer, but I need to adjust to due to the extra large delete key on the Wireless Elite set), the Enter key is slightly smaller (by 3-5mm), and the key response is not as ""soft"" as say the ones I recently sampled on the MS bluetooth keyboard, but still very comfortable.

Overall, a very high quality keyboard.  If you can wait, there is sure to be a wireless version coming soon.  But anyone that spends a significant amount of type working with computers will be able to appreciate the new layout after 1-2 days of adjustment to the new curvature.  I'm very happy with my purchase and would highly recommend this keyboard to my fellow programmers :)

UPDATE: In the past few days, I've had an inquiry into whether I'm still satisfied with the keyboard.  The answer is a big, bold *YES*.  As I was telling a colleague, this keyboard simply rocks.  I can type hours on end without pain.  My ""seat of the pants"" impression is that I also type _faster_ with this keyboard.  As I pointed out above, I think that most people will have to go through a period of adjustment to really feel comfortable and fall  in love with this keyboard, even if you're coming from a previous Microsoft Ergo series keyboard.",Best Overall Keyboard to Date,2005-10-18,0.5124899744987488,0.03440000116825104,0.3807600140571594,0.043859999626874924,0.02848000079393387,0,0.0,0.9981,780,1,-703.31,13,0,1,1113.0
5.0,16.0,1,"I've had a Natural Keyboard Pro for years, and now use it at work.  I was looking for a new home keyboard to replace the one from the MS Wireless Optical Desktop Comfort Edition (which is also a fine keyboard - if you're not a gamer; see the reviews for details).  While I liked the comfort curve keyboard, it wasn't a true ergonomic, and it gave me problems in gaming.  So when I saw that MS had redone the Natural Keyboard Pro, I jumped on it.  The reverse slope feels different at first but it isn't difficult to get used to at all.  The attachment does come off if you don't like it though.  The keyboard feels very well put together, typical of MS periphrials in my experience.

I noticed that one user had complained about the software.  If you've used Intellitype before, don't expect anything new in version 5.3, which ships with this keyboard.  As far as I can tell, the only thing added was support for the new keyboards.  I have no major faults with it, although I've never owned a Logitech keyboard so I'm unable to compare it with their software.

The only downsides to this keyboard are that the keys, despite having good feel and feedback are pretty quiet; it's not a clicky keyboard.  Also, with the reverse slope attachment on, it's a very high keyboard, something to keep in mind if you use a keyboard drawer or tray.  My tray will not quite slide under the desk anymore with this keyboard on it.  Still, these are minor faults with an otherwise excellent product.",Best keyboard I've used,2005-10-12,0.5090699791908264,0.035590000450611115,0.3782700002193451,0.04772999882698059,0.029340000823140144,0,0.0,0.8232,267,1,-182.62,7,0,1,16.0
4.0,11.0,1,"As with most Microsoft products, great hardware, poor software, but oh well.

Now I'm using this thing right now, and I never noticed the spacebar thing, but it's true, if you don't press the spacebar correctly and press it on the upper area, it's hard to press down. I've always pressed spacebars as they were meant to be pressed so I had no issues adjusting.

The largest challenge with this keyboard is using home row correctly, Microsoft puts out products based on the standard, and has done this with its' Natural line since the start. I use my left hand correctly, my right, on my Logitech Elite, went all over the place; I can only imagine how wrong my right hand usage was. This keyboard forces you to relearn typing, for typing classes, a Natural keyboard would be perfect, it makes you type correctly. I don't much like the N key, but I've learned to use it and the M key correctly, no more hitting my enter key while going for quotes either.

The zoom function is novelty, not necessity, it's fun to use normally but mostly useless otherwise, really exclusively for the always-in-office user, what they need to do is make it a scroll button too, it's highly sensitive and easy to use, which would make scrolling silky smooth in a way only overpriced mice manage.

Therein lies the problem, the software is inferior to my cheapie Logitech Elite(Which had more functions I might add as well as better software.), there is hardly any customization to be had. There is no taskbar icon; most of the remapping done is through an interface integrated into the already well-hidden Keyboard area under the control panel. Remapping options are less than fantastic, the favorites keys are useless, the back and forward buttons will work with either a browser or a media player, not both, zoom cannot be reconfigured, and Mail only allows one indicated program to be opened.

This is what is wrong with the favorite's keys, they allow but five programs to be opened, you cannot indicate that you wish to open a menu of programs to select, merely one program per key, same with all of the other keys. The lack of ""My"" keys for the F# Buttons is annoying, but that's just a design decision for a non-media keyboard, and I don't mind much.

This keyboard would've done better to have more configuration and just a couple more media keys, but I suppose it's my fault for asking that much of it, it's designed for the office, not a music listeners hands. I'll go into the aesthetics of this baby now to round it off.

Some may notice the shift keys are smaller, and the enter key even smaller, the right of the keyboard is larger than the left in the way of keys, which seems fine, to me at least, I find reaching the Backspace key uncomfortable, placing your hands on this keyboard is like a match made in heaven, seems a shame to reach so far away and break off from paradise.

That leads me to this palm rest, wow, sick of those cheap detachable plastic palm rests(Read: Wrist Destroyers)? This is your ticket, so soft, yet strong, it's the cashmere of palm wrests. The 2x3 layout is back to normal, which I very much enjoy, insert is back home and delete is too. The keys above the numpad offer more functions that I have yet to use, but are nice to have all the same, the curvature of the keys takes getting used to, particularly the aforementioned N key and it's sibling the M key. The Alt, Ctrl, Windows, Menu, and Start keys are all gigantic and hard to miss, they feel pretty great.

The spacebar, apparently if struck correctly, is amazing, it's designed for this keyboard in a way that no spacebar has ever been, it's almost destructive of what you're typing looking down while you type, seeing it all functioning the way it does, it's almost like some kind of alien technology, which is why I don't look.

The...crappy plastic attachment that comes attached(Oddly enough) to this masterpiece is best taken out(Easily) and forgotten, it's all personal preference of course, I didn't like it, the slope of the keys makes leaving your hands where they are painless and then very comfortable. The prop-ups on the back make it more conventional and I rather like them, but now the size.

This keyboard is undeniably the largest keyboard I have ever laid eyes on, the sheer width and height is enough to make a laptop user gawk for moments at a time, it is critical you have a large amount of desk space to place this on, I didn't, and I had to move my entire PC over more to the left just to manage a nice cozy fit. When the legs on this baby are propped it also reaches monitor height, I.E., it will not fit very well under a monitor, which is why it is best used in a keyboard tray, though I'd worry about it's large scale hurting the tray after a long enough time.

In conclusion, this is a masterful piece of hardware, and it has virtually no flaws, the software is pathetic at best and obviously designed for the dullard worker drone, it's a pity really, all the same, it deserves four stars, here's to hoping they manage to improve the boring, bland software.

8/10 (Not an average)","Great keyboard, poor software.",2005-10-05,0.4733699858188629,0.03551999852061272,0.41958001255989075,0.04301000013947487,0.028519999235868454,0,0.0,0.9947,917,15,34.84,0,0,1,11.0
5.0,,1,Love it.,Five Stars,2018-05-15,0.4902999997138977,0.038040000945329666,0.3945100009441376,0.04704999923706055,0.03009999915957451,0,0.0,0.6369,2,1,120.21,4605,1,0,0.0
5.0,,1,I've had various versions of this keyboard for almost 20years and it has saved my wrists!,Five Stars,2018-05-12,0.4844200015068054,0.03767000138759613,0.3933899998664856,0.04659999907016754,0.03791999816894531,0,0.0,0.4753,16,1,80.62,4602,1,0,0.0
5.0,,1,pefect for me,Five Stars,2018-05-12,0.484389990568161,0.0384799987077713,0.3990899920463562,0.047600001096725464,0.03044999949634075,0,0.0,0.0,3,1,93.81,4602,1,0,0.0
5.0,,1,Plugged it in and it works like a champ.  Keyboard takes some getting use to and the setup favors larger hands but I really like it over a traditional layout.  The special keys all work out of the box with my Windows 10 machine.  I like the key weight and it's quiet but not silent.  Overall really happy with this keyboard,Special keys worked out of the box!,2018-05-11,0.4979900121688843,0.03686000034213066,0.390390008687973,0.04558999836444855,0.029170000925660133,0,0.0,0.963,61,1,26.48,4601,1,0,0.0
4.0,,1,Has been installed for over a year and still is working as expected,OK product,2018-05-05,0.47574999928474426,0.037689998745918274,0.3950999975204468,0.046620000153779984,0.044840000569820404,0,0.0,0.0,13,1,83.66,4595,1,1,0.0
5.0,,1,I like this its like a split in half key board if you like a challenge than yea buy if not than stick to what your use to.  I love it,I like this its like a split in half key board ...,2018-05-03,0.48100998997688293,0.037450000643730164,0.39991000294685364,0.051989998668432236,0.02964000031352043,0,0.0,0.9001,31,1,82.31,4593,1,0,0.0
5.0,,1,I can type 80 words a minute with this unit. I am on my fifth one in 15 years.  Love it.,The best of the best.,2018-05-02,0.47628000378608704,0.04978000000119209,0.3978399932384491,0.04641000181436539,0.029689999297261238,0,0.0,0.6369,21,2,111.58,4592,1,0,0.0
